Goldtex,315 N 12th St,,Philadelphia,PA,19107,0 - 3,1 - 2,525 - 2,300
1919 Market St.,1919 Market St,,Philadelphia,PA,19103,0 - 3,1 - 2,459 - 1,447
Rittenhouse Hill,633 W Rittenhouse St,,Philadelphia,PA,19144,0 - 2,1 - 2,370 - 950
The Hub At 31 Brewerytown,1410 N 31st St,,Philadelphia,PA,19121,0 - 2,1 - 2,416 - 1,080
Smith School,1300 S 19th St,,Philadelphia,PA,19146,0 - 1,1,251 - 470
Dockside Luxury Apartments,717 S Christopher Columbus Blvd,,Philadelphia,PA,19147,2,2,1,253
NorthXNorthwest,450 N 18th St,,Philadelphia,PA,19130,0 - 2,1 - 2,457 - 1,276
Rittenhouse Hill,633 W Rittenhouse St,,Philadelphia,PA,19144,0 - 2,1 - 2,370 - 950
The Hub At 31 Brewerytown,1410 N 31st St,,Philadelphia,PA,19121,0 - 2,1 - 2,416 - 1,080
Smith School,1300 S 19th St,,Philadelphia,PA,19146,0 - 1,1,251 - 470
Dockside Luxury Apartments,717 S Christopher Columbus Blvd,,Philadelphia,PA,19147,2,2,1,253
The Hub At 31 Brewerytown,1410 N 31st St,,Philadelphia,PA,19121,0 - 2,1 - 2,416 - 1,080
The Hub At 31 Brewerytown,1410 N 31st St,,Philadelphia,PA,19121,0 - 2,1 - 2,416 - 1,080
1919 Market St.,1919 Market St,,Philadelphia,PA,19103,0 - 3,1 - 2,459 - 1,447
Alden Park,5500 Wissahickon Ave,,Philadelphia,PA,19144,0 - 4,1 - 3,325 - 2,556
The Hub At 31 Brewerytown,1410 N 31st St,,Philadelphia,PA,19121,0 - 2,1 - 2,416 - 1,080
Smith School,1300 S 19th St,,Philadelphia,PA,19146,0 - 1,1,251 - 470
Goldtex,315 N 12th St,,Philadelphia,PA,19107,0 - 3,1 - 2,525 - 2,300
1919 Market St.,1919 Market St,,Philadelphia,PA,19103,0 - 3,1 - 2,459 - 1,447
Alden Park,5500 Wissahickon Ave,,Philadelphia,PA,19144,0 - 4,1 - 3,325 - 2,556
Smith School,1300 S 19th St,,Philadelphia,PA,19146,0 - 1,1,251 - 470
Dockside Luxury Apartments,717 S Christopher Columbus Blvd,,Philadelphia,PA,19147,2,2,1,253
1919 Market St.,1919 Market St,,Philadelphia,PA,19103,0 - 3,1 - 2,459 - 1,447
Smith School,1300 S 19th St,,Philadelphia,PA,19146,0 - 1,1,251 - 470
Nichols Park,5001 Convict Hill Rd,,Austin,TX,78749,1 - 2,1 - 2,503 - 885
The Guthrie,3218 Gonzales St,,Austin,TX,78702,0 - 2,1 - 2,400 - 1,494
Menlo at Mueller,6855 E Highway 290,,Austin,TX,78723,0 - 3,1 - 2,440 - 1,380
Waters at Barton Creek,2611 Bee Caves Rd,,Austin,TX,78746,1 - 2,1 - 2,423 - 1,034
Bell Southpark,10600 Brezza Ln,,Austin,TX,78748,1 - 3,1 - 2,587 - 1,703
